tom,c,50
oUZGR,C++,81
xSf,C++,95
HSj,java,63
hPx,python,75
MOU,C++,57
HSj,C++,84
pslw,java,97
xSf,html,79
jPx,C++,86
MOU,python,75
pmMcg,C++,92
xHw,python,86
QYepa,html,82
sTEa,html,70
SeMe,html,97
hPx,C++,94
uvIJ,java,80
vUeJne,python,79
TlIdHV,html,69
TlIdHV,C++,59
xHw,java,81
pmMcg,C++,87
jPx,python,92
sTEa,java,74
refaw,python,55
RWW,python,79
SeMe,html,69
uvIJ,html,78
pslw,python,74
xHw,C++,60
HSj,html,58
TlIdHV,html,83
pslw,html,58
cMkpRR,java,82
pmMcg,java,84
NwVF,html,56
cLjhPL,C++,68
TlIdHV,java,86
nly,html,91
SeMe,java,98
pslw,java,55
ORE,java,57
vUeJne,python,59
RWW,html,71
xHw,html,56
hPx,html,66
sTEa,C++,95
oUZGR,html,94
uvIJ,html,81
pslw,java,55
xHw,C++,88
vUeJne,python,65
oUZGR,C++,81
nly,python,98
VxZfMj,C++,99
QYepa,C++,67
VtXZQ,python,69
NwVF,C++,74
THrfh,java,89
VxZfMj,java,77
refaw,C++,83
HSj,C++,51
refaw,python,50
QYepa,python,98
RWW,java,65
VxZfMj,C++,82
MOU,html,70
pslw,C++,61
cMkpRR,java,51
vUeJne,java,70
VxZfMj,java,79
pslw,C++,65
SeMe,python,64
pmMcg,java,89
TlIdHV,java,51
uvIJ,java,57
NwVF,java,92
VtXZQ,html,94
pmMcg,html,54
VtXZQ,C++,56
sTEa,java,58
pslw,python,85
cMkpRR,C++,98
THrfh,html,53
cLjhPL,python,58
sTEa,python,76
RWW,java,93
xSf,python,60
cLjhPL,C++,71
VxZfMj,python,57
MOU,java,54
pslw,html,51
NwVF,java,70
cLjhPL,html,87
HSj,C++,84
TlIdHV,html,83
HSj,C++,65
MOU,html,66
ORE,python,99
pslw,C++,84
